@relation other_shit

@attribute SO numeric
@attribute WAR numeric
@attribute G numeric
@attribute CG numeric
@attribute SHO numeric
@attribute W numeric
@attribute L numeric
@attribute W-L(Percent) numeric
@attribute SV numeric
@attribute IP numeric
@attribute ERA numeric
@attribute FIP numeric
@attribute HoF {0,1}

@data
5714,83.8,807,222,61,324,292,0.526,3,5386,3.19,2.97,1
4875,104.3,618,100,37,303,166,0.646,2,4135.1,3.29,3.19,1
4136,84.1,741,254,55,329,244,0.574,2,5217.2,3.22,3.15,1
3701,96.5,692,242,60,287,250,0.534,0,4970,3.31,3.19,1
3640,106.3,656,231,61,311,205,0.603,1,4783,2.86,3.04,1
3574,68.7,774,178,58,324,256,0.559,5,5282.1,3.26,3.24,1
3534,93.7,777,303,53,314,265,0.542,10,5350,3.11,3.06,1
3509,152.3,802,531,110,417,279,0.599,34,5914.1,2.17,2.42,1
3371,104.6,744,109,35,355,227,0.61,0,5008.1,3.16,3.26,1
3342,97.4,864,245,45,318,274,0.537,29,5404,3.35,3.62,1
3192,82.8,664,267,49,284,226,0.557,7,4500.2,3.34,3.28,1
3154,86,476,46,17,219,100,0.687,3,2827.1,2.93,2.91,1
3117,81.9,528,255,56,251,174,0.591,6,3884.1,2.91,2.89,1
3084,66.5,723,53,16,213,155,0.579,154,3473,3.33,3.24,1
2855,60.3,591,151,40,224,184,0.549,16,3760.1,3.27,3.22,1
2607,74,682,56,25,305,203,0.6,0,4413.1,3.54,3.95,1
2583,92.6,750,382,63,363,245,0.597,28,5243.2,3.09,3.44,1
2581,65.2,570,279,44,266,162,0.621,22,3827,3.25,3.48,1
2492,95.9,630,434,79,373,185,0.668,30,4755,2.11,2.25,1
2486,61.2,518,167,49,209,166,0.557,6,3432,2.95,3.02,1
2401,62.5,1071,100,20,197,171,0.535,390,3285.2,3.5,3.4,1
2396,53.2,397,137,40,165,87,0.655,9,2324.1,2.76,2.69,1
2357,83.1,676,305,45,286,245,0.539,25,4688.2,3.41,3.5,1
2334,51.6,691,289,49,300,244,0.551,16,4564,3.54,3.64,1
2303,61.9,471,244,52,243,142,0.631,2,3507,2.89,3.04,1
2266,109.9,616,298,35,300,141,0.68,54,3940.2,3.06,3.36,1
2246,86.5,623,410,69,326,194,0.627,23,4495.2,2.35,2.45,1
2212,68.1,558,211,53,268,152,0.638,4,3948,2.86,3.5,1
2198,117,696,436,90,373,208,0.642,32,5190,2.56,2.88,1
2137,55.2,366,235,47,178,127,0.584,4,2659.2,2.11,1.93,1
2045,62.5,442,217,29,197,140,0.585,12,2966.2,3.24,3.18,1
2012,36.6,500,181,42,224,166,0.574,1,3449.1,3.26,3.66,1
1987,55.4,624,335,45,273,225,0.548,18,4344,3.8,3.93,1
1956,53.9,498,156,45,236,106,0.69,11,3170.1,2.75,3.26,1
1796,60.4,488,212,33,207,150,0.58,26,2993,3.06,3.19,1
1736,63.2,430,250,57,195,126,0.607,35,2964.1,1.82,2.02,1
1711,44,459,255,40,212,127,0.625,34,3017,2.46,2.29,1
1677,67.8,535,260,36,253,154,0.622,33,3590.1,2.98,3.55,1
1610,50.1,1070,20,5,143,122,0.54,228,2254.1,2.52,3.06,1
1593,34.2,536,197,30,201,177,0.532,20,3306.2,3.08,2.9,1
1563,72.7,401,331,44,225,146,0.606,9,3312.1,2.12,2.15,1
1512,46.9,616,314,35,270,212,0.56,18,4180,3.53,3.65,1
1502,41.8,1002,16,0,124,107,0.537,310,1809.1,3.01,3.18,1
1471,68.4,669,273,29,254,213,0.544,27,4086.2,3.15,3.43,1
1468,43.1,368,173,28,189,102,0.649,10,2503,3.34,3.88,1
1375,55.1,481,271,55,239,130,0.648,49,3172.1,2.06,2.42,1
1350,56.8,692,290,37,266,251,0.515,14,4494.2,3.15,3.29,1
1318,50.6,399,302,42,187,167,0.528,9,3106.1,2.5,2.69,1
1299,25,944,4,2,114,118,0.491,341,1701.1,2.9,2.96,1
1277,37.5,460,188,31,207,128,0.618,22,2850,3.23,3.79,1
1227,44.1,617,249,35,241,162,0.598,37,3571.2,3.6,3.5,1
1206,53.3,674,226,26,237,182,0.566,53,3762.1,3.59,3.76,1
1181,39.3,341,225,32,177,110,0.617,4,2532,2.52,2.49,1
1163,42.7,317,154,26,150,83,0.644,31,1967.1,3.02,3.22,1
1073,67.2,594,356,27,260,230,0.531,25,4161,3.67,4.01,1
981,35.7,555,209,23,210,158,0.571,11,3208.2,3.64,3.95,1
981,65.2,450,223,38,215,142,0.602,21,3082,2.89,3.19,1
920,45.9,286,234,45,160,97,0.623,5,2327,1.89,2.25,1
901,46.1,373,244,27,190,118,0.617,22,2732,2.62,2.87,1
861,24.5,661,0,0,68,71,0.489,300,1042,2.83,2.94,1
2832,48.8,586,195,41,217,191,0.532,10,3638.1,3.44,3.2,0
2773,57.5,638,143,34,240,236,0.504,1,4188.1,3.66,3.79,0
2668,61.7,450,56,22,194,126,0.606,1,2898.2,3.46,3.57,0
2610,58.5,524,63,15,200,173,0.536,0,3197.1,3.85,3.91,0
2556,57.1,612,140,33,222,209,0.515,17,3839.1,3.36,3.26,0
2478,43.8,549,175,28,254,186,0.577,0,3824,3.9,3.94,0
2464,50.3,457,81,18,179,158,0.531,0,2962.2,3.97,3.93,0
