@RELATION data_for_weka

@ATTRIBUTE pa REAL
@ATTRIBUTE ab REAL
@ATTRIBUTE r REAL
@ATTRIBUTE h REAL
@ATTRIBUTE 2b REAL
@ATTRIBUTE 3b REAL
@ATTRIBUTE hr REAL
@ATTRIBUTE rbi REAL
@ATTRIBUTE sb REAL
@ATTRIBUTE bb REAL
@ATTRIBUTE ba REAL
@ATTRIBUTE obp REAL
@ATTRIBUTE slg REAL
@ATTRIBUTE ops REAL
@ATTRIBUTE hof {0,1}

@DATA
13941,12364,2174,3771,624,98,755,2297,240,1402,0.305,0.374,0.555,0.928,1
1978,1810,154,378,60,13,11,163,3,77,0.209,0.242,0.275,0.517,1
10400,9073,1508,2724,504,80,210,1134,474,1032,0.3,0.371,0.443,0.814,1
11331,10281,1999,3435,582,142,97,2075,277,984,0.334,0.394,0.447,0.841,1
11230,10230,1335,2677,394,92,83,791,506,736,0.262,0.311,0.343,0.653,1
10254,8856,1319,2749,440,102,45,1116,179,1302,0.31,0.399,0.398,0.798,1
9736,8365,1322,2574,317,109,29,586,234,1198,0.308,0.396,0.382,0.778,1
7221,6353,1224,2019,401,128,238,1164,70,774,0.318,0.395,0.534,0.928,1
6667,5984,887,1838,315,103,96,991,235,473,0.307,0.363,0.442,0.805,1
8249,7182,1048,2004,320,77,32,591,145,827,0.279,0.355,0.358,0.714,1
10394,9421,1305,2583,407,90,512,1636,50,763,0.274,0.33,0.5,0.83,1
10504,9538,1602,2934,473,244,87,1578,315,616,0.308,0.361,0.436,0.797,1
8674,7658,1091,2048,381,24,389,1376,68,891,0.267,0.342,0.476,0.817,1
1276,1147,102,243,40,10,6,116,20,75,0.212,0.266,0.28,0.546,1
8359,7555,1175,2150,321,49,358,1430,30,704,0.285,0.348,0.482,0.83,1
12504,10876,1844,3060,668,55,291,1175,414,1160,0.281,0.363,0.433,0.796,1
514,451,19,59,7,0,0,25,0,5,0.131,0.144,0.146,0.29,1
10740,9180,1513,3010,578,61,118,1014,24,1412,0.328,0.415,0.443,0.858,1
8354,7471,1177,2313,465,151,219,1422,58,664,0.31,0.369,0.5,0.869,1
7024,6029,861,1779,385,66,68,789,51,796,0.295,0.38,0.415,0.795,1
5375,4481,682,1252,218,71,26,530,212,714,0.279,0.386,0.377,0.764,1
11625,10349,1583,3154,665,137,317,1596,201,1096,0.305,0.369,0.487,0.857,1
11240,10332,1610,3023,486,141,149,900,938,761,0.293,0.343,0.41,0.753,1
7676,6711,1523,2296,460,205,106,1296,256,840,0.342,0.423,0.519,0.942,1
1240,1143,93,235,20,11,2,73,8,44,0.206,0.236,0.248,0.483,1
1401,1275,82,213,21,4,7,75,0,34,0.167,0.188,0.206,0.395,1
9620,8426,1720,2850,320,182,75,952,389,1029,0.338,0.415,0.446,0.861,1
4815,4205,627,1161,178,18,242,856,25,533,0.276,0.36,0.5,0.86,1
10550,9315,1424,3053,445,112,92,1015,353,1018,0.328,0.393,0.429,0.822,1
10769,9363,1545,2665,419,159,70,802,738,1040,0.285,0.361,0.386,0.747,1
1881,1719,123,346,49,6,13,140,2,41,0.201,0.223,0.259,0.482,1
9019,7971,1025,2092,371,31,324,1225,39,848,0.262,0.335,0.439,0.773,1
8698,7927,1131,2351,417,27,379,1365,142,588,0.297,0.35,0.499,0.849,1
5103,4299,798,1274,200,79,20,596,403,556,0.296,0.394,0.394,0.788,1
1151,1103,85,217,37,13,5,82,5,25,0.197,0.216,0.267,0.483,1
9838,8584,1622,2678,361,220,67,1015,509,875,0.312,0.386,0.429,0.814,1
2060,1974,254,432,73,26,24,232,31,81,0.219,0.25,0.319,0.569,1
10211,9454,1416,3000,440,166,240,1305,83,621,0.317,0.359,0.475,0.834,1
13087,11434,2244,4189,724,295,117,1933,897,1249,0.366,0.433,0.512,0.945,1
6208,5169,1041,1652,333,64,119,830,64,857,0.32,0.419,0.478,0.897,1
12046,9949,1821,3315,438,187,47,1300,741,1499,0.333,0.424,0.429,0.853,1
7452,6795,1055,1999,352,116,65,983,194,426,0.294,0.343,0.409,0.752,1
6513,5746,1186,1866,309,154,58,633,98,670,0.325,0.397,0.462,0.859,1
6040,5796,992,1529,207,68,28,883,416,197,0.264,0.293,0.337,0.63,1
8847,7797,1620,2467,441,233,138,1323,244,1002,0.316,0.397,0.486,0.883,1
1196,1058,70,168,26,10,1,81,0,53,0.159,0.202,0.205,0.407,1
